id_cliente,nome_cliente,data_servico,veiculo_marca,veiculo_modelo,ano_veiculo,tipo_servico,valor_servico,status_pagamento,satisfacao_cliente
CLI0003,Hugo Rodrigues,2022-10-25,Audi,Q3,2014,Pintura,1315.03,Pago,2
CLI0003,Hugo Rodrigues,2023-12-20,Chevrolet,Tracker,2016,Motor,685.25,Pago,1
CLI0004,Daniel Vieira,2023-02-16,Honda,CR-V,2010,Balanceamento,853.19,Pago,1
CLI0004,Daniel Vieira,2022-09-11,Toyota,Hilux,2011,Troca de Óleo,1296.47,Pago,2
CLI0004,Daniel Vieira,2023-04-12,Audi,Q3,2018,Freios,1098.86,Pago,5
CLI0004,Daniel Vieira,2023-10-28,Chevrolet,Cruze,2022,Suspensão,326.09,Pago,4
CLI0005,Carla Neves,2024-05-05,Mercedes-Benz,GLA,2023,Troca de Óleo,1026.38,Pendente,1
CLI0005,Carla Neves,2023-04-30,Mercedes-Benz,Classe A,2022,Revisão,410.55,Pago,4
CLI0005,Carla Neves,2023-07-20,Mercedes-Benz,GLC,2014,Elétrica,412.22,Pendente,4
CLI0005,Carla Neves,2024-09-12,Honda,Civic,2020,Pintura,1262.24,Pendente,2
CLI0005,Carla Neves,2023-08-16,Mercedes-Benz,GLA,2017,Pneus,1303.74,Pendente,2
CLI0005,Carla Neves,2024-03-21,Toyota,RAV4,2014,Elétrica,463.61,Pago,5
CLI0006,Nuno Santos,2023-06-08,Ford,Ranger,2014,Pneus,1454.63,Pago,5
CLI0006,Nuno Santos,2022-03-29,BMW,X1,2010,Balanceamento,741.34,Pendente,5
CLI0006,Nuno Santos,2022-07-06,Toyota,Corolla,2023,Freios,149.36,Pago,2
CLI0006,Nuno Santos,2023-03-15,Honda,HR-V,2019,Balanceamento,107.63,Pago,5
CLI0006,Nuno Santos,2023-08-27,Hyundai,Elantra,2014,Pneus,1021.1,Pago,3
CLI0006,Nuno Santos,2023-03-07,Ford,Ka,2017,Motor,1397.08,Pendente,1
CLI0006,Nuno Santos,2023-05-10,Kia,Sportage,2011,Pintura,359.07,Pago,3
CLI0006,Nuno Santos,2022-04-06,Chevrolet,Tracker,2014,Freios,685.37,Pago,3
CLI0006,Nuno Santos,2023-10-14,Hyundai,HB20,2020,Pintura,484.1,Pago,2
CLI0006,Nuno Santos,2022-10-23,Honda,Civic,2021,Pintura,275.4,Pago,2
CLI0006,Nuno Santos,2023-01-12,Chevrolet,Tracker,2018,Elétrica,414.13,Pendente,1
CLI0007,Ana Oliveira,2024-04-12,Mercedes-Benz,Classe A,2010,Troca de Óleo,533.66,Pago,3
CLI0007,Ana Oliveira,2022-12-15,Audi,Q5,2018,Troca de Óleo,212.22,Pendente,2
CLI0008,Gabriela Lima,2023-01-12,BMW,Série 3,2016,Freios,110.65,Pago,1
CLI0008,Gabriela Lima,2023-12-08,Chevrolet,S10,2020,Revisão,562.83,Pago,4
CLI0008,Gabriela Lima,2024-09-02,Ford,Ranger,2023,Freios,1465.5,Pago,4
CLI0008,Gabriela Lima,2023-01-01,Ford,Ka,2022,Suspensão,1213.24,Pago,2
CLI0008,Gabriela Lima,2023-09-06,Ford,Focus,2016,Troca de Óleo,1294.96,Pago,4
CLI0008,Gabriela Lima,2023-11-30,Volkswagen,Polo,2013,Troca de Óleo,1007.05,Pago,3
CLI0008,Gabriela Lima,2023-02-16,Volkswagen,Virtus,2020,Pintura,629.53,Pendente,5
CLI0008,Gabriela Lima,2023-11-11,Toyota,Corolla,2014,Freios,891.86,Pendente,1
CLI0008,Gabriela Lima,2023-03-28,Kia,Seltos,2015,Motor,682.77,Pendente,1
CLI0009,Quiteria Teixeira,2024-10-08,Chevrolet,Tracker,2010,Suspensão,52.45,Pendente,5
CLI0009,Quiteria Teixeira,2025-01-29,Chevrolet,Tracker,2016,Revisão,1425.87,Pendente,5
CLI0009,Quiteria Teixeira,2024-01-13,Honda,CR-V,2018,Alinhamento,1016.99,Pago,3
CLI0009,Quiteria Teixeira,2024-09-15,Ford,Ranger,2016,Suspensão,1032.11,Pendente,5
CLI0009,Quiteria Teixeira,2024-09-30,Volkswagen,T-Cross,2018,Troca de Óleo,490.62,Pago,5
CLI0009,Quiteria Teixeira,2024-11-08,BMW,Série 1,2017,Elétrica,1029.66,Pago,2
CLI0009,Quiteria Teixeira,2024-12-31,Honda,CR-V,2018,Balanceamento,536.02,Pago,2
CLI0010,Ana Vieira,2024-09-29,Chevrolet,S10,2012,Troca de Óleo,117.01,Pendente,5
CLI0010,Ana Vieira,2024-01-30,Audi,Q5,2020,Balanceamento,331.93,Pago,4
CLI0010,Ana Vieira,2024-12-30,Chevrolet,S10,2020,Troca de Óleo,1344.36,Pago,1
CLI0010,Ana Vieira,2025-01-25,Chevrolet,S10,2022,Pintura,723.6,Pago,1
CLI0010,Ana Vieira,2025-02-26,Ford,EcoSport,2020,Pintura,1482.44,Pago,4
CLI0010,Ana Vieira,2025-08-05,Hyundai,Tucson,2023,Pintura,696.57,Pago,4
CLI0010,Ana Vieira,2025-02-19,Volkswagen,Polo,2023,Alinhamento,1160.43,Pago,2
CLI0010,Ana Vieira,2024-08-24,Audi,A3,2021,Alinhamento,390.02,Pago,5
CLI0010,Ana Vieira,2024-02-07,Ford,Ranger,2013,Suspensão,1056.23,Pago,1
CLI0010,Ana Vieira,2025-01-14,Mercedes-Benz,Classe A,2018,Elétrica,652.87,Pago,4
CLI0010,Ana Vieira,2024-12-19,Kia,Sportage,2023,Balanceamento,601.55,Pago,3
CLI0011,Gabriela Vieira,2023-10-16,Mercedes-Benz,GLC,2017,Pneus,445.76,Pago,4
CLI0011,Gabriela Vieira,2023-08-22,Mercedes-Benz,GLC,2023,Elétrica,1383.34,Pendente,5
CLI0011,Gabriela Vieira,2022-10-09,Mercedes-Benz,Classe C,2011,Suspensão,246.76,Pago,1
CLI0011,Gabriela Vieira,2023-06-05,Mercedes-Benz,Classe A,2013,Elétrica,523.93,Pago,4
CLI0011,Gabriela Vieira,2023-06-23,Mercedes-Benz,Classe A,2023,Revisão,731.94,Pago,1
CLI0012,Nuno Lima,2023-05-18,Honda,Civic,2022,Troca de Óleo,1426.94,Pago,1
CLI0012,Nuno Lima,2024-06-28,Ford,Ranger,2012,Elétrica,1020.72,Pago,2
CLI0012,Nuno Lima,2024-01-20,Volkswagen,Virtus,2012,Balanceamento,930.51,Pago,1
CLI0012,Nuno Lima,2023-03-17,Volkswagen,Gol,2019,Troca de Óleo,1396.89,Pago,4
CLI0012,Nuno Lima,2023-11-11,Chevrolet,Onix,2019,Pneus,197.76,Pago,5
CLI0012,Nuno Lima,2023-02-01,Kia,Sportage,2015,Pintura,671.15,Pago,5
CLI0013,Olivia Neves,2023-05-28,Toyota,RAV4,2023,Elétrica,203.03,Pendente,4
CLI0013,Olivia Neves,2024-06-06,Ford,EcoSport,2012,Pintura,1449.94,Pago,5
CLI0013,Olivia Neves,2023-10-21,Audi,Q5,2023,Balanceamento,439.17,Pago,1
CLI0013,Olivia Neves,2023-03-25,Audi,Q3,2022,Elétrica,876.28,Pago,3
CLI0013,Olivia Neves,2022-07-12,Audi,A4,2012,Elétrica,357.57,Pago,3
CLI0013,Olivia Neves,2023-03-26,Kia,Rio,2018,Troca de Óleo,799.11,Pago,2
CLI0013,Olivia Neves,2023-08-03,Audi,Q3,2021,Elétrica,986.56,Pago,1
CLI0013,Olivia Neves,2022-09-16,Volkswagen,Polo,2016,Pneus,494.0,Pago,4
CLI0013,Olivia Neves,2023-12-31,Hyundai,Elantra,2016,Pintura,529.65,Pago,3
CLI0013,Olivia Neves,2023-04-22,Volkswagen,Polo,2011,Pneus,507.54,Pago,2
CLI0013,Olivia Neves,2022-12-26,Chevrolet,Cruze,2014,Balanceamento,1466.08,Pago,3
CLI0014,Isabela Silva,2024-07-05,Volkswagen,Polo,2015,Freios,488.29,Pago,2
CLI0014,Isabela Silva,2024-09-25,Toyota,Corolla,2018,Alinhamento,1061.26,Pago,4
CLI0015,Felipe Carvalho,2022-05-03,Kia,Rio,2017,Elétrica,688.68,Pago,1
CLI0015,Felipe Carvalho,2023-01-04,Audi,A3,2023,Revisão,631.03,Pago,1
CLI0016,Kelly Costa,2023-06-28,Kia,Rio,2011,Pneus,221.75,Pago,5
CLI0016,Kelly Costa,2024-09-28,Kia,Cerato,2022,Pintura,601.55,Pendente,3
CLI0016,Kelly Costa,2024-09-20,Mercedes-Benz,Classe A,2019,Balanceamento,137.33,Pendente,1
CLI0017,Eduarda Pereira,2022-09-09,Chevrolet,Tracker,2020,Revisão,277.73,Pago,1
CLI0017,Eduarda Pereira,2022-07-19,Toyota,RAV4,2017,Balanceamento,731.37,Pago,3
CLI0017,Eduarda Pereira,2024-02-02,Volkswagen,T-Cross,2011,Pneus,1389.67,Pago,5
CLI0017,Eduarda Pereira,2023-12-18,Chevrolet,Cruze,2011,Pintura,375.97,Pago,3
CLI0017,Eduarda Pereira,2022-07-04,Honda,Civic,2012,Alinhamento,912.81,Pago,3
CLI0017,Eduarda Pereira,2023-05-04,Honda,Fit,2021,Alinhamento,1064.61,Pendente,5
CLI0017,Eduarda Pereira,2023-08-15,Audi,Q5,2011,Balanceamento,107.8,Pago,3
CLI0017,Eduarda Pereira,2023-10-20,Volkswagen,Gol,2011,Pneus,1444.77,Pago,5
CLI0017,Eduarda Pereira,2023-10-03,Toyota,Yaris,2019,Troca de Óleo,1156.51,Pago,5
CLI0017,Eduarda Pereira,2023-12-08,Audi,A4,2012,Balanceamento,682.03,Pago,1
CLI0017,Eduarda Pereira,2023-06-05,BMW,Série 1,2015,Motor,1021.69,Pago,3
CLI0017,Eduarda Pereira,2023-04-06,Audi,A4,2020,Suspensão,1229.67,Pago,4
CLI0017,Eduarda Pereira,2022-05-10,BMW,X3,2015,Revisão,1456.77,Pago,5
CLI0018,Kelly Souza,2023-04-28,Hyundai,Tucson,2016,Troca de Óleo,321.99,Pago,4
CLI0018,Kelly Souza,2025-01-26,Audi,A3,2013,Alinhamento,846.37,Pendente,4
CLI0018,Kelly Souza,2025-04-11,Audi,A3,2010,Balanceamento,1209.0,Pago,3
CLI0018,Kelly Souza,2024-11-11,Toyota,RAV4,2011,Pneus,1488.77,Pendente,4
CLI0018,Kelly Souza,2023-08-25,Ford,EcoSport,2021,Alinhamento,787.86,Pago,4
CLI0018,Kelly Souza,2024-08-22,Chevrolet,Cruze,2018,Freios,606.2,Pendente,5
CLI0018,Kelly Souza,2023-09-13,Honda,CR-V,2022,Suspensão,542.82,Pago,3
CLI0018,Kelly Souza,2023-04-29,Volkswagen,Virtus,2023,Balanceamento,890.89,Pago,2
CLI0018,Kelly Souza,2024-07-27,Hyundai,Tucson,2015,Motor,850.28,Pago,4
CLI0018,Kelly Souza,2024-03-21,Chevrolet,S10,2019,Suspensão,388.67,Pago,1
CLI0018,Kelly Souza,2024-03-17,Audi,Q5,2016,Freios,768.23,Pago,5
CLI0018,Kelly Souza,2024-12-21,BMW,X1,2023,Elétrica,194.58,Pendente,1
CLI0018,Kelly Souza,2023-09-21,Mercedes-Benz,GLC,2011,Elétrica,1183.21,Pago,5
CLI0018,Kelly Souza,2025-04-05,Mercedes-Benz,Classe C,2023,Motor,1285.89,Pago,4
CLI0019,Carla Fernandes,2024-05-18,Audi,A3,2019,Revisão,390.42,Pago,3
CLI0019,Carla Fernandes,2023-04-05,Honda,Fit,2011,Revisão,693.33,Pago,1
CLI0019,Carla Fernandes,2022-10-02,BMW,X1,2014,Motor,593.52,Pago,5
CLI0019,Carla Fernandes,2023-10-11,Kia,Cerato,2012,Freios,164.5,Pago,5
CLI0019,Carla Fernandes,2024-07-15,Chevrolet,Cruze,2019,Freios,386.67,Pago,4
CLI0019,Carla Fernandes,2023-05-04,Toyota,RAV4,2014,Pintura,279.06,Pago,3
CLI0020,Daniel Gomes,2023-05-26,Mercedes-Benz,Classe A,2017,Alinhamento,338.86,Pago,4
CLI0020,Daniel Gomes,2022-11-10,Chevrolet,Cruze,2019,Motor,883.48,Pendente,3
CLI0020,Daniel Gomes,2022-08-15,Mercedes-Benz,Classe A,2010,Balanceamento,1304.35,Pago,1
CLI0020,Daniel Gomes,2024-04-04,Audi,A4,2022,Pneus,930.24,Pago,2
CLI0020,Daniel Gomes,2024-04-19,Volkswagen,Polo,2020,Revisão,1359.94,Pago,3
CLI0020,Daniel Gomes,2023-10-18,Toyota,Yaris,2021,Freios,180.69,Pago,4
CLI0020,Daniel Gomes,2023-01-19,Chevrolet,S10,2022,Pintura,1320.87,Pago,5
CLI0020,Daniel Gomes,2023-04-29,Ford,Ka,2023,Elétrica,1452.71,Pago,3
CLI0020,Daniel Gomes,2022-11-18,Audi,A3,2012,Pneus,1297.2,Pago,4
CLI0020,Daniel Gomes,2024-02-14,BMW,X1,2022,Suspensão,70.18,Pago,4
CLI0021,Luiz Teixeira,2025-03-05,Volkswagen,T-Cross,2023,Motor,207.1,Pago,1
CLI0021,Luiz Teixeira,2025-01-10,Hyundai,Elantra,2019,Pneus,989.1,Pago,4
CLI0021,Luiz Teixeira,2025-04-03,Volkswagen,T-Cross,2011,Freios,115.75,Pago,4
CLI0021,Luiz Teixeira,2023-08-13,Honda,HR-V,2018,Freios,613.54,Pago,5
CLI0021,Luiz Teixeira,2024-06-19,Kia,Cerato,2016,Revisão,1258.85,Pago,3
CLI0021,Luiz Teixeira,2023-05-20,BMW,Série 3,2017,Elétrica,1428.3,Pago,1
CLI0022,Isabela Santos,2024-01-05,Hyundai,Elantra,2010,Suspensão,450.03,Pendente,4
CLI0022,Isabela Santos,2023-03-28,Chevrolet,Onix,2010,Motor,403.17,Pago,5
CLI0022,Isabela Santos,2023-07-23,Honda,HR-V,2019,Pneus,1228.93,Pago,2
CLI0022,Isabela Santos,2024-08-26,Toyota,Yaris,2023,Freios,1481.91,Pago,2
CLI0022,Isabela Santos,2023-04-16,Toyota,Hilux,2010,Motor,1195.48,Pago,3
CLI0022,Isabela Santos,2023-01-10,Ford,Ka,2010,Freios,1125.49,Pago,1
CLI0022,Isabela Santos,2024-04-25,Audi,A4,2018,Balanceamento,208.13,Pago,5
CLI0022,Isabela Santos,2023-02-07,Hyundai,Elantra,2017,Troca de Óleo,138.2,Pago,4
CLI0022,Isabela Santos,2024-03-05,Honda,Fit,2021,Elétrica,156.56,Pago,5
CLI0022,Isabela Santos,2023-05-25,Honda,HR-V,2014,Balanceamento,967.96,Pago,3
CLI0022,Isabela Santos,2024-01-19,Kia,Rio,2017,Pintura,927.87,Pago,1
CLI0023,Olivia Vieira,2024-09-09,Hyundai,Creta,2016,Elétrica,1337.73,Pago,4
CLI0023,Olivia Vieira,2023-12-22,Mercedes-Benz,Classe C,2015,Suspensão,503.16,Pago,2
CLI0023,Olivia Vieira,2024-10-12,Audi,A3,2011,Revisão,185.18,Pago,3
CLI0023,Olivia Vieira,2023-03-22,Hyundai,HB20,2019,Pintura,864.44,Pago,4
CLI0023,Olivia Vieira,2023-11-06,Mercedes-Benz,Classe C,2014,Balanceamento,503.05,Pago,5
CLI0023,Olivia Vieira,2023-06-14,Ford,EcoSport,2013,Revisão,557.67,Pago,1
CLI0023,Olivia Vieira,2023-08-21,Kia,Cerato,2022,Suspensão,1275.47,Pendente,5
CLI0023,Olivia Vieira,2024-07-29,Hyundai,HB20,2019,Alinhamento,91.98,Pago,3
CLI0023,Olivia Vieira,2023-10-22,BMW,X1,2012,Freios,871.17,Pago,2
CLI0023,Olivia Vieira,2024-08-18,Toyota,Corolla,2021,Pintura,361.94,Pago,3
CLI0023,Olivia Vieira,2023-04-19,BMW,X3,2021,Motor,1176.41,Pago,1
CLI0023,Olivia Vieira,2023-01-01,Ford,Ranger,2022,Balanceamento,122.16,Pago,4
CLI0023,Olivia Vieira,2024-09-16,Mercedes-Benz,GLA,2019,Elétrica,650.57,Pago,5
CLI0023,Olivia Vieira,2023-03-05,BMW,Série 1,2011,Alinhamento,1033.42,Pago,5
CLI0024,Daniel Fernandes,2023-07-03,Toyota,Hilux,2016,Balanceamento,129.43,Pago,2
CLI0024,Daniel Fernandes,2023-01-09,Volkswagen,Virtus,2015,Revisão,61.21,Pago,2
CLI0024,Daniel Fernandes,2023-01-01,Mercedes-Benz,GLC,2018,Pintura,1258.36,Pago,1
CLI0024,Daniel Fernandes,2023-10-02,Toyota,RAV4,2010,Elétrica,1385.69,Pago,5
CLI0024,Daniel Fernandes,2023-11-04,Kia,Seltos,2021,Suspensão,469.8,Pago,3
CLI0024,Daniel Fernandes,2023-02-13,Kia,Seltos,2023,Motor,177.79,Pago,2
CLI0024,Daniel Fernandes,2023-11-11,Kia,Seltos,2018,Revisão,623.86,Pago,3
CLI0024,Daniel Fernandes,2023-04-05,BMW,Série 3,2011,Pintura,968.18,Pago,2
CLI0024,Daniel Fernandes,2023-08-14,BMW,Série 3,2013,Revisão,262.34,Pago,5
CLI0024,Daniel Fernandes,2023-01-25,Honda,HR-V,2022,Elétrica,722.73,Pago,5
CLI0024,Daniel Fernandes,2023-11-24,Kia,Rio,2023,Motor,268.89,Pago,4
CLI0025,Carla Vieira,2023-06-23,Volkswagen,Gol,2015,Pintura,157.58,Pago,1
CLI0025,Carla Vieira,2022-10-14,BMW,X3,2011,Revisão,941.76,Pago,4
CLI0025,Carla Vieira,2024-04-02,Hyundai,HB20,2017,Balanceamento,995.16,Pago,4
CLI0025,Carla Vieira,2024-01-12,Ford,Focus,2017,Revisão,1225.9,Pago,1
CLI0025,Carla Vieira,2024-01-15,Ford,Focus,2013,Elétrica,1486.93,Pago,5
CLI0025,Carla Vieira,2023-01-26,BMW,X3,2014,Suspensão,642.72,Pago,5
CLI0025,Carla Vieira,2022-10-09,BMW,X1,2015,Revisão,859.05,Pago,3
CLI0025,Carla Vieira,2024-06-19,Kia,Cerato,2015,Revisão,894.97,Pago,3
CLI0025,Carla Vieira,2023-06-30,Mercedes-Benz,GLC,2019,Revisão,498.89,Pago,3
CLI0025,Carla Vieira,2022-12-25,Hyundai,HB20,2020,Suspensão,787.31,Pago,3
CLI0025,Carla Vieira,2023-02-17,Chevrolet,Tracker,2022,Elétrica,328.41,Pendente,2
CLI0026,João Teixeira,2022-11-23,Honda,Civic,2020,Motor,1320.77,Pago,5
CLI0026,João Teixeira,2023-02-14,Ford,Ranger,2012,Balanceamento,1223.11,Pago,4
CLI0027,Luiz Neves,2024-12-31,BMW,Série 3,2017,Balanceamento,463.15,Pago,4
CLI0028,Gabriela Oliveira,2024-01-14,Chevrolet,Tracker,2022,Elétrica,1360.76,Pago,5
CLI0028,Gabriela Oliveira,2023-10-11,Audi,A4,2022,Suspensão,779.21,Pago,2
CLI0028,Gabriela Oliveira,2023-02-06,Kia,Cerato,2023,Alinhamento,125.66,Pago,3
CLI0028,Gabriela Oliveira,2024-02-04,Honda,Civic,2014,Revisão,1156.52,Pago,5
CLI0029,Bruno Lima,2024-05-05,Honda,HR-V,2023,Elétrica,1332.71,Pendente,4
CLI0029,Bruno Lima,2023-04-08,Mercedes-Benz,Classe A,2013,Suspensão,1492.06,Pago,1
CLI0029,Bruno Lima,2024-01-05,Honda,CR-V,2022,Freios,249.52,Pago,4
CLI0030,João Oliveira,2023-04-24,Audi,Q5,2019,Troca de Óleo,1363.49,Pago,2
CLI0030,João Oliveira,2023-05-05,Hyundai,Tucson,2011,Alinhamento,394.58,Pago,2
CLI0030,João Oliveira,2024-02-05,Kia,Seltos,2011,Revisão,1263.2,Pago,5
CLI0030,João Oliveira,2022-12-19,Hyundai,Creta,2021,Freios,472.34,Pago,3
CLI0030,João Oliveira,2023-08-06,Kia,Seltos,2012,Revisão,809.05,Pago,5
CLI0030,João Oliveira,2024-06-12,Hyundai,HB20,2016,Elétrica,113.12,Pago,3
CLI0030,João Oliveira,2023-08-19,Toyota,Yaris,2022,Revisão,549.96,Pago,1
CLI0030,João Oliveira,2024-07-20,BMW,Série 3,2010,Motor,841.72,Pago,2
CLI0030,João Oliveira,2024-11-03,Audi,Q5,2020,Freios,1226.67,Pago,4
CLI0030,João Oliveira,2023-01-09,Volkswagen,Polo,2010,Pneus,1334.4,Pago,3
CLI0030,João Oliveira,2024-05-13,Mercedes-Benz,GLA,2014,Troca de Óleo,1142.27,Pago,3
CLI0030,João Oliveira,2023-01-20,BMW,X3,2011,Motor,683.58,Pago,4
CLI0031,Hugo Souza,2023-11-12,BMW,Série 3,2017,Elétrica,582.65,Pago,3
CLI0031,Hugo Souza,2023-01-05,Mercedes-Benz,Classe C,2016,Balanceamento,1492.89,Pago,3
CLI0031,Hugo Souza,2023-09-06,Honda,Civic,2015,Alinhamento,494.42,Pago,4
CLI0031,Hugo Souza,2023-04-01,Audi,A4,2017,Troca de Óleo,1103.88,Pendente,5
CLI0031,Hugo Souza,2024-01-01,Volkswagen,Gol,2011,Suspensão,576.8,Pago,2
CLI0031,Hugo Souza,2022-11-13,Ford,EcoSport,2010,Freios,147.49,Pago,3
CLI0031,Hugo Souza,2023-10-18,Mercedes-Benz,Classe C,2019,Freios,1034.64,Pendente,3
CLI0031,Hugo Souza,2024-01-10,Honda,HR-V,2018,Motor,627.15,Pago,2
CLI0031,Hugo Souza,2023-02-06,Toyota,Hilux,2017,Pintura,611.13,Pago,3
CLI0031,Hugo Souza,2023-07-06,Audi,Q3,2019,Alinhamento,1056.27,Pendente,2
CLI0031,Hugo Souza,2023-02-15,Ford,Focus,2017,Freios,1353.08,Pago,1
CLI0031,Hugo Souza,2024-09-10,BMW,X3,2021,Revisão,847.5,Pago,3
CLI0031,Hugo Souza,2023-03-23,Ford,Ka,2018,Pneus,225.98,Pago,2
CLI0031,Hugo Souza,2023-06-12,Audi,A3,2015,Pintura,879.8,Pago,5
CLI0031,Hugo Souza,2023-02-22,Kia,Sportage,2011,Alinhamento,627.33,Pago,4
CLI0032,Maria Costa,2023-05-07,Mercedes-Benz,Classe C,2012,Motor,981.39,Pago,5
CLI0032,Maria Costa,2023-02-28,Ford,Ranger,2022,Freios,677.3,Pendente,1
CLI0032,Maria Costa,2022-07-18,Hyundai,Creta,2014,Freios,284.85,Pendente,2
CLI0032,Maria Costa,2023-03-02,Hyundai,Elantra,2023,Revisão,413.38,Pago,5
CLI0032,Maria Costa,2022-12-19,Ford,Ka,2019,Pintura,185.47,Pago,5
CLI0032,Maria Costa,2023-10-28,Ford,Ranger,2020,Balanceamento,1094.92,Pago,5
CLI0032,Maria Costa,2022-04-24,Toyota,Corolla,2010,Balanceamento,433.75,Pago,5
CLI0032,Maria Costa,2023-05-13,Kia,Sportage,2017,Pintura,470.02,Pendente,4
CLI0032,Maria Costa,2022-11-18,Mercedes-Benz,Classe A,2017,Revisão,1048.49,Pago,4
CLI0033,Olivia Gomes,2024-01-31,Chevrolet,Tracker,2019,Freios,503.24,Pago,3
CLI0033,Olivia Gomes,2023-11-25,Ford,Ka,2018,Pintura,203.97,Pago,1
CLI0033,Olivia Gomes,2023-07-13,Audi,Q3,2012,Revisão,123.38,Pendente,5
CLI0033,Olivia Gomes,2023-12-15,Chevrolet,S10,2023,Motor,1403.94,Pago,2
CLI0033,Olivia Gomes,2023-03-25,Audi,Q5,2017,Alinhamento,771.19,Pago,4
CLI0033,Olivia Gomes,2024-03-13,Audi,Q3,2013,Balanceamento,561.7,Pago,4
CLI0033,Olivia Gomes,2024-06-15,Audi,A4,2018,Troca de Óleo,1278.4,Pago,3
CLI0033,Olivia Gomes,2023-10-22,Mercedes-Benz,Classe A,2010,Suspensão,124.18,Pago,3
CLI0034,Felipe Gomes,2023-10-17,Honda,Fit,2018,Elétrica,1158.39,Pago,5
CLI0034,Felipe Gomes,2024-11-21,Kia,Sportage,2012,Revisão,621.16,Pago,3
CLI0034,Felipe Gomes,2024-07-19,BMW,Série 3,2013,Balanceamento,788.23,Pago,1
CLI0034,Felipe Gomes,2023-02-03,Ford,Ka,2022,Elétrica,803.03,Pago,5
CLI0034,Felipe Gomes,2023-05-18,BMW,X3,2012,Suspensão,1486.39,Pago,3
CLI0034,Felipe Gomes,2024-08-24,BMW,Série 1,2021,Balanceamento,484.7,Pago,3
CLI0034,Felipe Gomes,2023-11-30,Honda,Fit,2019,Alinhamento,1205.29,Pago,1
CLI0034,Felipe Gomes,2024-08-28,Audi,A4,2020,Balanceamento,887.57,Pago,5
CLI0034,Felipe Gomes,2024-04-30,Ford,EcoSport,2012,Pneus,95.78,Pendente,1
CLI0035,Luiz Pereira,2023-11-07,Audi,A4,2016,Freios,648.79,Pago,5
CLI0035,Luiz Pereira,2025-07-06,Audi,A3,2021,Freios,802.09,Pago,4
CLI0035,Luiz Pereira,2025-04-09,Mercedes-Benz,Classe A,2012,Elétrica,1372.58,Pago,3
CLI0035,Luiz Pereira,2025-09-10,Volkswagen,T-Cross,2013,Pneus,454.56,Pago,3
CLI0036,Isabela Oliveira,2024-03-27,Chevrolet,Cruze,2015,Elétrica,555.76,Pendente,3
CLI0036,Isabela Oliveira,2024-03-26,Honda,Fit,2016,Motor,1434.18,Pago,3
CLI0036,Isabela Oliveira,2023-07-19,Volkswagen,Gol,2015,Elétrica,1001.16,Pago,2
CLI0036,Isabela Oliveira,2023-12-29,Hyundai,Elantra,2018,Alinhamento,249.05,Pago,5
CLI0036,Isabela Oliveira,2024-02-06,Chevrolet,Onix,2020,Pintura,377.22,Pago,1
CLI0036,Isabela Oliveira,2024-08-02,BMW,Série 1,2011,Freios,57.51,Pago,2
CLI0036,Isabela Oliveira,2024-07-26,Audi,Q5,2020,Pneus,1146.07,Pago,3
